unix,date,symbol,open,high,low,close,volume
1707091200000,02-05-2024,BTCUSDT,42582.88000000,43569.76000000,42258.10000000,42708.70000000,29467.75905000
1707004800000,02-04-2024,BTCUSDT,43011.10000000,43119.04000000,42222.00000000,42582.88000000,17066.89404000
1706918400000,02-03-2024,BTCUSDT,43199.99000000,43380.01000000,42880.00000000,43011.09000000,12033.40998000
1706832000000,02-02-2024,BTCUSDT,43082.95000000,43488.00000000,42546.79000000,43200.00000000,29672.14418000
1706745600000,02-01-2024,BTCUSDT,42580.00000000,43285.13000000,41884.28000000,43082.94000000,35231.04664000
1706659200000,01-31-2024,BTCUSDT,42941.10000000,43745.11000000,42276.84000000,42580.00000000,39871.13688000
1706572800000,01-30-2024,BTCUSDT,43302.71000000,43882.36000000,42683.99000000,42941.10000000,37619.24546000
1706486400000,01-29-2024,BTCUSDT,42031.05000000,43333.00000000,41804.88000000,43302.70000000,31542.74207000
1706400000000,01-28-2024,BTCUSDT,42120.63000000,42842.68000000,41620.81000000,42031.06000000,27294.99838000
1706313600000,01-27-2024,BTCUSDT,41823.51000000,42200.00000000,41394.34000000,42120.63000000,16224.41667000
1706227200000,01-26-2024,BTCUSDT,39961.09000000,42246.82000000,39822.52000000,41823.51000000,47384.96726000
1706140800000,01-25-2024,BTCUSDT,40084.89000000,40300.24000000,39550.00000000,39961.09000000,31022.11853000
1706054400000,01-24-2024,BTCUSDT,39897.59000000,40555.00000000,39484.19000000,40084.88000000,39293.82861000
1705968000000,01-23-2024,BTCUSDT,39568.02000000,40176.74000000,38555.00000000,39897.60000000,57956.63351000
1705881600000,01-22-2024,BTCUSDT,41580.32000000,41689.65000000,39431.58000000,39568.02000000,55426.19911000
1705795200000,01-21-2024,BTCUSDT,41696.05000000,41881.39000000,41500.98000000,41580.33000000,11730.16301000
1705708800000,01-20-2024,BTCUSDT,41659.03000000,41872.56000000,41456.30000000,41696.04000000,15923.99493000
1705622400000,01-19-2024,BTCUSDT,41327.51000000,42196.86000000,40280.00000000,41659.03000000,48342.74559000
1705536000000,01-18-2024,BTCUSDT,42776.09000000,42930.00000000,40683.28000000,41327.50000000,43907.51641000
1705449600000,01-17-2024,BTCUSDT,43137.94000000,43198.00000000,42200.69000000,42776.10000000,33266.21388000
1705363200000,01-16-2024,BTCUSDT,42511.10000000,43578.01000000,42050.00000000,43137.95000000,45045.74589000
1705276800000,01-15-2024,BTCUSDT,41732.35000000,43400.43000000,41718.05000000,42511.10000000,40269.89303000
1705190400000,01-14-2024,BTCUSDT,42847.99000000,43079.00000000,41720.00000000,41732.35000000,28228.40894000
1705104000000,01-13-2024,BTCUSDT,42782.74000000,43257.00000000,42436.12000000,42847.99000000,36118.47464000
1705017600000,01-12-2024,BTCUSDT,46339.16000000,46515.53000000,41500.00000000,42782.73000000,86327.93707000
1704931200000,01-11-2024,BTCUSDT,46654.00000000,48969.48000000,45606.06000000,46339.16000000,87470.32960000
